comunidad,sexo,año,total
melilla,hombres,2014,43075
la rioja,hombres,2014,158090
madrid,hombres,2014,3099641
asturias,hombres,2014,507927
region de murcia,mujeres,2014,730929
baleares,hombres,2014,549801
madrid,mujeres,2014,3354799
region de murcia,hombres,2014,735889
aragon,mujeres,2014,668421
valencia,mujeres,2014,2529763
galicia,hombres,2014,1325657
cataluña,hombres,2014,3701740
castilla y leon,hombres,2014,1232250
cataluña,mujeres,2014,3817163
castilla la mancha,hombres,2014,1043880
castilla la mancha,mujeres,2014,1034731
cantabria,mujeres,2014,301874
castilla y leon,mujeres,2014,1262540
cantabria,hombres,2014,286782
ceuta,hombres,2014,43354
ceuta,mujeres,2014,41609
valencia,hombres,2014,2475081
andalucia,mujeres,2014,4253604
region de murcia,hombres,2015,735434
aragon,hombres,2015,652687
cataluña,hombres,2015,3691745
canarias,hombres,2015,1043203
melilla,mujeres,2015,41991
ceuta,hombres,2015,42757
galicia,hombres,2015,1317054
asturias,mujeres,2015,549054
melilla,hombres,2015,43593
castilla y leon,hombres,2015,1219616
madrid,mujeres,2015,3349974
valencia,mujeres,2015,2519884
galicia,mujeres,2015,1415293
ceuta,mujeres,2015,41506
baleares,hombres,2015,549678
baleares,mujeres,2015,554801
madrid,hombres,2015,3087022
cataluña,mujeres,2015,3816361
andalucia,hombres,2015,4144532
andalucia,mujeres,2015,4254511
region de murcia,mujeres,2015,731854
valencia,hombres,2015,2460805
cantabria,hombres,2015,284788
castilla la mancha,hombres,2015,1032673
pais vasco,hombres,2015,1065925
castilla y leon,mujeres,2015,1252436
aragon,mujeres,2015,665160
extremadura,hombres,2015,542078
navarra,mujeres,2015,322591
asturias,hombres,2015,502175
cantabria,mujeres,2015,300391
canarias,mujeres,2015,1057103
pais vasco,mujeres,2015,1123332
la rioja,hombres,2015,156733
la rioja,mujeres,2015,160320
castilla la mancha,mujeres,2015,1026518
extremadura,mujeres,2015,550919
navarra,hombres,2015,317885
region de murcia,hombres,2016,733555
castilla la mancha,hombres,2016,1022722
madrid,hombres,2016,3098631
ceuta,hombres,2016,42846
andalucia,mujeres,2016,4248913
