provincia,sexo,año,total
cuenca,mujeres,2009,38556
segovia,mujeres,2009,81218
barcelona,hombres,2009,2703137
lerida,hombres,2009,223095
jaen,mujeres,2009,337265
valladolid,hombres,2009,261785
murcia,hombres,2009,731609
toledo,mujeres,2009,339057
navarra,mujeres,2009,315092
castellon,hombres,2009,303460
salamanca,hombres,2009,173512
cordoba,hombres,2009,395225
asturias,mujeres,2009,564373
almeria,mujeres,2009,332031
huelva,hombres,2009,255144
islas baleares,mujeres,2009,544347
cadiz,hombres,2010,612833
leon,hombres,2010,244199
caceres,mujeres,2010,208725
teruel,hombres,2010,74563
rioja,mujeres,2010,160531
lugo,mujeres,2010,181521
cuenca,hombres,2010,110384
valladolid,hombres,2010,262141
ciudad real,mujeres,2010,265355
ciudad real,hombres,2010,264098
toledo,hombres,2010,354101
tarragona,mujeres,2010,399379
huesca,mujeres,2010,112042
pontevedra,hombres,2010,465900
cantabria,mujeres,2010,302319
jaen,mujeres,2010,337861
lerida,mujeres,2010,215371
valladolid,mujeres,2010,271499
lerida,hombres,2010,224397
cordoba,mujeres,2010,409538
castellon,hombres,2010,303490
las palmas,mujeres,2010,541906
cordoba,hombres,2010,395570
valencia,mujeres,2010,1303421
huesca,hombres,2010,116524
valencia,hombres,2010,1277726
cantabria,hombres,2010,289931
granada,hombres,2010,453734
lugo,hombres,2010,171983
cuenca,mujeres,2010,107332
zamora,hombres,2010,96427
tarragona,hombres,2010,409041
guadalajara,mujeres,2010,122393
albacete,hombres,2010,201396
castellon,mujeres,2010,300784
cadiz,mujeres,2010,623906
rioja,hombres,2010,161884
jaen,hombres,2010,332900
coruña,hombres,2010,551318
almeria,hombres,2010,358112
leon,mujeres,2010,255085
soria,mujeres,2010,46858
santa cruz de tenerife,mujeres,2010,517907
coruña,mujeres,2010,595140
barcelona,hombres,2010,2710304
almeria,mujeres,2010,337448
zaragoza,mujeres,2010,491162
murcia,hombres,2010,738627
gerona,hombres,2010,380773
orense,mujeres,2010,173873
barcelona,mujeres,2010,2800843
alicante,hombres,2010,961733
melilla,hombres,2010,38819
sevilla,mujeres,2010,976681
vizcaya,hombres,2010,559359
sevilla,hombres,2010,940416
malaga,mujeres,2010,815982
segovia,mujeres,2010,81234
segovia,hombres,2010,83034
salamanca,mujeres,2010,180685
asturias,mujeres,2010,563939
asturias,hombres,2010,520402
avila,hombres,2010,86728
salamanca,hombres,2010,172934
toledo,mujeres,2010,343858
navarra,hombres,2010,318423
pontevedra,mujeres,2010,496572
badajoz,mujeres,2010,348774
cuenca,hombres,2010,41269
alicante,mujeres,2010,964552
las palmas,hombres,2010,548699
orense,hombres,2010,161346
islas baleares,hombres,2010,555204
cuenca,mujeres,2010,39310
murcia,mujeres,2010,723352
avila,mujeres,2010,85168
guipuzcoa,mujeres,2010,360236
huelva,hombres,2010,257716
granada,mujeres,2010,464338
islas baleares,mujeres,2010,550845
navarra,mujeres,2010,318501
huelva,mujeres,2010,260365
badajoz,hombres,2010,343363
soria,hombres,2010,48400
santa cruz de tenerife,hombres,2010,510007
burgos,mujeres,2010,185372
palencia,hombres,2010,85543
albacete,mujeres,2010,200286
teruel,mujeres,2010,70714
burgos,hombres,2010,189454
gerona,mujeres,2010,372273
alava,hombres,2010,158322
alava,mujeres,2010,159030
guipuzcoa,hombres,2010,347027
guadalajara,hombres,2010,129170
malaga,hombres,2010,793575
caceres,hombres,2010,206358
zaragoza,hombres,2010,482090
zamora,mujeres,2010,97787
madrid,hombres,2010,3124438
vizcaya,mujeres,2010,594365
madrid,mujeres,2010,3334246
palencia,mujeres,2010,86967
melilla,mujeres,2010,37215
valencia,mujeres,2011,1304354
leon,hombres,2011,243316
avila,mujeres,2011,85619
melilla,mujeres,2011,38220
huelva,hombres,2011,259362
pontevedra,hombres,2011,466691
navarra,mujeres,2011,321395
granada,mujeres,2011,467466
palencia,mujeres,2011,86550
alava,hombres,2011,159041
badajoz,hombres,2011,344291
ciudad real,hombres,2011,264078
teruel,mujeres,2011,70599
cuenca,mujeres,2011,40211
gerona,mujeres,2011,375362
alava,mujeres,2011,160186
ciudad real,mujeres,2011,266097
cordoba,mujeres,2011,409999
salamanca,mujeres,2011,180402
tarragona,mujeres,2011,401669
segovia,mujeres,2011,81202
rioja,hombres,2011,161582
jaen,mujeres,2011,337216
albacete,hombres,2011,201400
asturias,mujeres,2011,562916
cordoba,hombres,2011,395858
melilla,hombres,2011,40256
palencia,hombres,2011,85118
orense,mujeres,2011,172687
guadalajara,hombres,2011,131532
gerona,hombres,2011,381448
guadalajara,mujeres,2011,124929
jaen,hombres,2011,333384
huesca,mujeres,2011,112137
coruña,hombres,2011,551476
avila,hombres,2011,87085
valladolid,hombres,2011,262609
asturias,hombres,2011,518571
pontevedra,mujeres,2011,496820
orense,hombres,2011,160570
cuenca,hombres,2011,111052
almeria,hombres,2011,361189
caceres,mujeres,2011,208873
sevilla,hombres,2011,945766
malaga,mujeres,2011,824701
toledo,mujeres,2011,348706
cantabria,hombres,2011,289872
las palmas,mujeres,2011,545739
huelva,mujeres,2011,262606
cuenca,mujeres,2011,108086
lugo,hombres,2011,170854
vizcaya,mujeres,2011,595594
zamora,hombres,2011,95993
malaga,hombres,2011,801126
burgos,hombres,2011,189652
cadiz,mujeres,2011,627654
zaragoza,hombres,2011,481054
santa cruz de tenerife,mujeres,2011,519439
vizcaya,hombres,2011,560178
soria,mujeres,2011,46876
coruña,mujeres,2011,595648
teruel,hombres,2011,74008
rioja,mujeres,2011,161373
valencia,hombres,2011,1274365
santa cruz de tenerife,hombres,2011,510350
madrid,mujeres,2011,3356836
cadiz,hombres,2011,615865
burgos,mujeres,2011,186005
lugo,mujeres,2011,180676
alicante,mujeres,2011,969567
soria,hombres,2011,48347
caceres,hombres,2011,206573
zamora,mujeres,2011,97390
madrid,hombres,2011,3132844
guipuzcoa,hombres,2011,347653
sevilla,mujeres,2011,983196
segovia,hombres,2011,82967
lerida,mujeres,2011,216920
castellon,hombres,2011,302855
salamanca,hombres,2011,172584
islas baleares,mujeres,2011,555537
valladolid,mujeres,2011,272265
guipuzcoa,mujeres,2011,361954
murcia,mujeres,2011,728488
albacete,mujeres,2011,200918
zaragoza,mujeres,2011,492271
tarragona,hombres,2011,409732
cuenca,hombres,2011,42165
toledo,hombres,2011,358536
islas baleares,hombres,2011,557577
las palmas,hombres,2011,551241
badajoz,mujeres,2011,349630
leon,mujeres,2011,254483
navarra,hombres,2011,320656
alicante,hombres,2011,964560
lerida,hombres,2011,225388
huesca,hombres,2011,116224
castellon,mujeres,2011,301489
almeria,mujeres,2011,341630
barcelona,hombres,2011,2715628
granada,hombres,2011,457084
murcia,hombres,2011,741581
barcelona,mujeres,2011,2813471
cantabria,mujeres,2011,303249
santa cruz de tenerife,mujeres,2012,513476
alicante,mujeres,2012,974673
huelva,mujeres,2012,263492
teruel,hombres,2012,73478
pontevedra,mujeres,2012,493820
teruel,mujeres,2012,70250
huesca,hombres,2012,115512
toledo,mujeres,2012,350756
huelva,hombres,2012,259370
cuenca,mujeres,2012,107576
albacete,mujeres,2012,201197
cuenca,hombres,2012,110460
huesca,mujeres,2012,112097
gerona,hombres,2012,383428
guipuzcoa,mujeres,2012,363442
valencia,hombres,2012,1274240
guipuzcoa,hombres,2012,348655
zamora,mujeres,2012,96512
pontevedra,hombres,2012,464608
badajoz,mujeres,2012,349843
granada,mujeres,2012,466712
islas baleares,hombres,2012,560091
cuenca,hombres,2012,42948
murcia,mujeres,2012,731722
islas baleares,mujeres,2012,559348
barcelona,hombres,2012,2722394
salamanca,hombres,2012,171489
navarra,hombres,2012,321453
murcia,hombres,2012,742727
zaragoza,mujeres,2012,495222
sevilla,mujeres,2012,988561
vizcaya,hombres,2012,561134
almeria,mujeres,2012,344672
malaga,mujeres,2012,832571
segovia,hombres,2012,82695
vizcaya,mujeres,2012,597305
santa cruz de tenerife,hombres,2012,504055
barcelona,mujeres,2012,2829656
malaga,hombres,2012,808527
alicante,hombres,2012,969237
badajoz,hombres,2012,344690
alava,hombres,2012,160649
melilla,mujeres,2012,39233
palencia,mujeres,2012,86083
guadalajara,hombres,2012,133009
alava,mujeres,2012,161908
palencia,hombres,2012,84630
segovia,mujeres,2012,81006
asturias,hombres,2012,516420
sevilla,hombres,2012,950413
salamanca,mujeres,2012,179075
melilla,hombres,2012,41569
orense,mujeres,2012,171082
avila,hombres,2012,86434
orense,hombres,2012,159175
avila,mujeres,2012,84831
cuenca,mujeres,2012,41070
navarra,mujeres,2012,323113
las palmas,hombres,2012,552185
asturias,mujeres,2012,560940
coruña,mujeres,2012,593902
burgos,hombres,2012,189124
burgos,mujeres,2012,185846
castellon,mujeres,2012,301637
