Tipo de infracción;Comunidades y ciudades autónomas;Periodo;Total
Delitos;Murcia, Región de;2020;1.551
Delitos;Murcia, Región de;2019;1.832
Delitos;Murcia, Región de;2018;1.832
Delitos;Murcia, Región de;2017;1.663
Delitos;Murcia, Región de;2016;1.617
Delitos;Murcia, Región de;2015;1.290
Delitos;Navarra, Comunidad Foral de;2022;876
Delitos;Navarra, Comunidad Foral de;2021;664
Delitos;Navarra, Comunidad Foral de;2020;421
Delitos;Navarra, Comunidad Foral de;2019;574
Delitos;Navarra, Comunidad Foral de;2018;490
Delitos;Navarra, Comunidad Foral de;2017;454
Delitos;Navarra, Comunidad Foral de;2016;387
Delitos;Navarra, Comunidad Foral de;2015;308
Delitos;País Vasco;2022;3.013
Delitos;País Vasco;2021;2.337
Delitos;País Vasco;2020;1.670
Delitos;País Vasco;2019;2.118
Delitos;País Vasco;2018;1.722
Delitos;País Vasco;2017;1.576
Delitos;País Vasco;2016;1.424
Delitos;País Vasco;2015;1.267
Delitos;Rioja, La;2022;500
Delitos;Rioja, La;2021;347
Delitos;Rioja, La;2020;234
Delitos;Rioja, La;2019;310
Delitos;Rioja, La;2018;320
Delitos;Rioja, La;2017;264
Delitos;Rioja, La;2016;248
Delitos;Rioja, La;2015;204
Delitos;Ceuta;2022;117
Delitos;Ceuta;2021;97
Delitos;Ceuta;2020;79
Delitos;Ceuta;2019;62
Delitos;Ceuta;2018;81
Delitos;Ceuta;2017;69
Delitos;Ceuta;2016;68
Delitos;Ceuta;2015;59
Delitos;Melilla;2022;118
Delitos;Melilla;2021;88
Delitos;Melilla;2020;63
Delitos;Melilla;2019;85
Delitos;Melilla;2018;83
Delitos;Melilla;2017;81
Delitos;Melilla;2016;75
Delitos;Melilla;2015;69
Homicidio y sus formas;Andalucía;2022;14
Homicidio y sus formas;Andalucía;2021;17
Homicidio y sus formas;Andalucía;2020;10
Homicidio y sus formas;Andalucía;2019;12
Homicidio y sus formas;Andalucía;2018;12
Homicidio y sus formas;Andalucía;2017;8
