"Año","Mes","Pareja - Expareja","Convivencia","Denuncia agresor","Suicidio","Tramo de edad Agresor","Tramo de edad Víctima","País de nacimiento Agresor","País de nacimiento Víctima","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Bizkaia","Gipuzkoa","La Rioja","Ceuta","Melilla"
"Año 2003","Agosto","Expareja","No","No consta denuncia","No hubo tentativa","No consta","18-20 años","No consta","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Expareja","No","No consta denuncia","No hubo tentativa","No consta","31-40 años","No consta","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","No consta","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Pareja","Sí","No consta denuncia","Tentativa no consumada","51-60 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2003","Agosto","Pareja","Sí","No consta denuncia","Tentativa no consumada","51-60 años","51-60 años","España","España","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Pareja","Sí","No consta denuncia","Tentativa no consumada","No consta","51-60 años","España","España","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Agosto","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Septiembre","Expareja","No","No consta denuncia","No hubo tentativa","No consta","21-30 años","No consta","España","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Septiembre","Expareja","No","No consta denuncia","Suicidio consumado","31-40 años","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2003","Septiembre","Pareja","Sí","No consta denuncia","No hubo tentativa",">=85 años",">=85 años","España","España","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Septiembre","Pareja","Sí","No consta denuncia","Tentativa no consumada","41-50 años","41-50 años","España","España","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Octubre","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","21-30 años","No consta","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2003","Octubre","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","",""
"Año 2003","Noviembre","Expareja","No","No consta denuncia","No hubo tentativa","No consta","51-60 años","España","España","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Noviembre","Expareja","No","No consta denuncia","Suicidio consumado","51-60 años","41-50 años","Otro país","Otro país","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Noviembre","Expareja","No","No consta denuncia","Suicidio consumado","No consta","21-30 años","España","España","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
