"Año","Mes","Pareja - Expareja","Convivencia","Denuncia agresor","Suicidio","Tramo de edad Agresor","Tramo de edad Víctima","País de nacimiento Agresor","País de nacimiento Víctima","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Bizkaia","Gipuzkoa","La Rioja","Ceuta","Melilla"
"Año 2007","Julio","Pareja en fase de separación","Sí","No había denuncia","Suicidio consumado","51-60 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Julio","Pareja en fase de separación","Sí","Había denuncia","No hubo tentativa","21-30 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2007","Agosto","Expareja","No","No había denuncia","No hubo tentativa","31-40 años","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2007","Agosto","Pareja","Sí","No había denuncia","No hubo tentativa","21-30 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Año 2007","Agosto","Pareja","Sí","No había denuncia","No hubo tentativa","41-50 años","41-50 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Año 2007","Agosto","Pareja","Sí","No había denuncia","No hubo tentativa","41-50 años","61-70 años","Otro país","Otro país","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Agosto","Pareja","Sí","No había denuncia","No hubo tentativa","61-70 años","51-60 años","España","España","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Agosto","Pareja","Sí","No había denuncia","Tentativa no consumada","51-60 años","51-60 años","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Agosto","Pareja","Sí","Había denuncia","No hubo tentativa","21-30 años","18-20 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2007","Septiembre","Pareja","Sí","No había denuncia","No hubo tentativa","21-30 años","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Septiembre","Pareja","Sí","No había denuncia","No hubo tentativa","51-60 años","51-60 años","España","España","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Septiembre","Pareja","Sí","No había denuncia","No hubo tentativa","61-70 años","51-60 años","España","España","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Septiembre","Pareja","No","No había denuncia","No hubo tentativa","51-60 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Año 2007","Octubre","Expareja","No","No había denuncia","No hubo tentativa","31-40 años","31-40 años","España","España","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Octubre","Expareja","No","No había denuncia","No hubo tentativa","31-40 años","31-40 años","Otro país","España","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Octubre","Pareja","Sí","No había denuncia","No hubo tentativa","41-50 años","41-50 años","Otro país","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2007","Octubre","Pareja","No","No había denuncia","No hubo tentativa","21-30 años","21-30 años","Otro país","Otro país","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Octubre","Pareja en fase de separación","Sí","No había denuncia","No hubo tentativa","51-60 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Noviembre","Expareja","No","No había denuncia","No hubo tentativa","31-40 años","31-40 años","Otro país","Otro país","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Noviembre","Expareja","No","Había denuncia","No hubo tentativa","21-30 años","21-30 años","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Año 2007","Noviembre","Pareja","Sí","No había denuncia","Tentativa no consumada","21-30 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2007","Noviembre","Pareja","Sí","Había denuncia","No hubo tentativa","41-50 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Noviembre","Pareja","Sí","Había denuncia","No hubo tentativa","71-84 años","71-84 años","España","España","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Noviembre","Pareja","No","No había denuncia","No hubo tentativa","41-50 años","51-60 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Año 2007","Noviembre","Pareja en fase de separación","Sí","No había denuncia","No hubo tentativa","61-70 años","61-70 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","",""
"Año 2007","Diciembre","Expareja","No","No había denuncia","No hubo tentativa","31-40 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2008","Enero","Pareja","Sí","No había denuncia","No hubo tentativa","21-30 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Enero","Pareja","Sí","No había denuncia","No hubo tentativa","31-40 años","41-50 años","Otro país","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Enero","Pareja","Sí","No había denuncia","No hubo tentativa","51-60 años","41-50 años","Otro país","Otro país","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Enero","Pareja","Sí","No había denuncia","No hubo tentativa","61-70 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2008","Enero","Pareja","No","No había denuncia","Suicidio consumado","21-30 años","18-20 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"Año 2008","Enero","Pareja en fase de separación","Sí","No había denuncia","No hubo tentativa","51-60 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2008","Febrero","Expareja","No","No había denuncia","Suicidio consumado","51-60 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Febrero","Expareja","No","Había denuncia","No hubo tentativa","51-60 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2008","Febrero","Pareja","Sí","No había denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2008","Febrero","Pareja","Sí","No había denuncia","Suicidio consumado","41-50 años","41-50 años","Otro país","Otro país","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Febrero","Pareja","Sí","No había denuncia","Tentativa no consumada","21-30 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Febrero","Pareja en fase de separación","Sí","No había denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Febrero","Pareja en fase de separación","Sí","Había denuncia","Suicidio consumado","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Febrero","Pareja en fase de separación","No","Había denuncia","No hubo tentativa","51-60 años","41-50 años","España","España","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Marzo","Expareja","No","No había denuncia","No hubo tentativa","21-30 años","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Marzo","Pareja","Sí","No había denuncia","Suicidio consumado","51-60 años","51-60 años","España","España","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Marzo","Pareja","Sí","Había denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Año 2008","Marzo","Pareja","No","No había denuncia","No hubo tentativa","61-70 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Abril","Expareja","No","No había denuncia","Tentativa no consumada","31-40 años","31-40 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Abril","Expareja","No","Había denuncia","No hubo tentativa","31-40 años","18-20 años","Otro país","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Año 2008","Abril","Expareja","No","Había denuncia","Suicidio consumado","31-40 años","31-40 años","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Abril","Pareja","Sí","No había denuncia","No hubo tentativa","21-30 años","21-30 años","España","Otro país","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Abril","Pareja","No","No había denuncia","No hubo tentativa","21-30 años","16-17 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Año 2008","Mayo","Expareja","No","No había denuncia","Tentativa no consumada","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Mayo","Expareja","No","Había denuncia","No hubo tentativa","71-84 años","61-70 años","España","España","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Mayo","Pareja","Sí","No había denuncia","No hubo tentativa","41-50 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Junio","Expareja","No","Había denuncia","No hubo tentativa","31-40 años","31-40 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Junio","Pareja","Sí","No había denuncia","No hubo tentativa","31-40 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Junio","Pareja","Sí","No había denuncia","No hubo tentativa","41-50 años","51-60 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Junio","Pareja","Sí","No había denuncia","No hubo tentativa","71-84 años","71-84 años","España","España","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Junio","Pareja en fase de separación","Sí","No había denuncia","Tentativa no consumada","31-40 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"Año 2008","Julio","Expareja","No","No había denuncia","No hubo tentativa","41-50 años","31-40 años","España","Otro país","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Julio","Expareja","No","No había denuncia","No hubo tentativa","41-50 años","31-40 años","Otro país","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Julio","Expareja","No","Había denuncia","Suicidio consumado","51-60 años","41-50 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"Año 2008","Julio","Pareja","Sí","No había denuncia","Suicidio consumado","41-50 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2008","Julio","Pareja","No","No había denuncia","No hubo tentativa","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Agosto","Expareja","No","No había denuncia","No hubo tentativa","31-40 años","18-20 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Agosto","Expareja","No","Había denuncia","No hubo tentativa","41-50 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Agosto","Pareja","Sí","No había denuncia","No hubo tentativa","41-50 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2008","Agosto","Pareja","Sí","No había denuncia","No hubo tentativa","51-60 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Agosto","Pareja","Sí","No había denuncia","No hubo tentativa","71-84 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"Año 2008","Agosto","Pareja","Sí","No había denuncia","Suicidio consumado","31-40 años","41-50 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2008","Agosto","Pareja","Sí","No había denuncia","Tentativa no consumada","61-70 años","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","",""
"Año 2008","Agosto","Pareja","No","No había denuncia","No hubo tentativa","18-20 años","18-20 años","Otro país","España","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Septiembre","Expareja","No","No había denuncia","No hubo tentativa","31-40 años","31-40 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2008","Septiembre","Expareja","No","No había denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Septiembre","Expareja","No","No había denuncia","No hubo tentativa","41-50 años","41-50 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Septiembre","Expareja","No","Había denuncia","No hubo tentativa","21-30 años","21-30 años","Otro país","Otro país","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Septiembre","Pareja","Sí","No había denuncia","No hubo tentativa","31-40 años","21-30 años","España","España","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Septiembre","Pareja","No","No había denuncia","No hubo tentativa","21-30 años","21-30 años","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Septiembre","Pareja en fase de separación","Sí","No había denuncia","No hubo tentativa","61-70 años","61-70 años","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Octubre","Expareja","No","Había denuncia","No hubo tentativa","51-60 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"Año 2008","Octubre","Pareja","Sí","No había denuncia","No hubo tentativa","31-40 años","21-30 años","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","",""
"Año 2008","Octubre","Pareja","Sí","No había denuncia","No hubo tentativa","41-50 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Octubre","Pareja","No","No había denuncia","No hubo tentativa","31-40 años","31-40 años","Otro país","Otro país","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Octubre","Pareja","No","No había denuncia","Suicidio consumado","31-40 años","31-40 años","España","España","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Octubre","Pareja en fase de separación","No","No había denuncia","No hubo tentativa","31-40 años","21-30 años","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2008","Octubre","Pareja en fase de separación","No","Había denuncia","Suicidio consumado","41-50 años","41-50 años","España","España","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Noviembre","Expareja","No","No había denuncia","No hubo tentativa","31-40 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","",""
"Año 2008","Noviembre","Expareja","No","No había denuncia","No hubo tentativa","41-50 años","21-30 años","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2008","Noviembre","Expareja","No","No había denuncia","Suicidio consumado","71-84 años","41-50 años","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2008","Noviembre","Pareja","Sí","No había denuncia","Suicidio consumado","51-60 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2008","Noviembre","Pareja","Sí","No había denuncia","Tentativa no consumada","31-40 años","21-30 años","Otro país","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2008","Noviembre","Pareja","Sí","Había denuncia","No hubo tentativa","61-70 años","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2008","Diciembre","Pareja","Sí","No había denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","",""
"Año 2008","Diciembre","Pareja","Sí","No había denuncia","Suicidio consumado","31-40 años","21-30 años","España","Otro país","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Diciembre","Pareja","Sí","No había denuncia","Suicidio consumado","61-70 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","",""
"Año 2008","Diciembre","Pareja","Sí","No había denuncia","Tentativa no consumada","21-30 años","31-40 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","",""
"Año 2008","Diciembre","Pareja","Sí","Había denuncia","No hubo tentativa","21-30 años","31-40 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2008","Diciembre","Pareja","Sí","Había denuncia","No hubo tentativa","51-60 años","51-60 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Diciembre","Pareja","No","No había denuncia","No hubo tentativa","21-30 años","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Diciembre","Pareja","No","No había denuncia","No hubo tentativa","21-30 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Diciembre","Pareja en fase de separación","Sí","No había denuncia","No hubo tentativa","51-60 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","",""
"Año 2008","Diciembre","Pareja en fase de separación","Sí","Había denuncia","No hubo tentativa","71-84 años","61-70 años","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2008","Diciembre","Pareja en fase de separación","No","Había denuncia","Suicidio consumado","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Febrero","Expareja","No","No había denuncia","No hubo tentativa","61-70 años","51-60 años","España","España","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Febrero","Pareja","Sí","Había denuncia","Tentativa no consumada","21-30 años","21-30 años","España","España","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Febrero","Pareja","No","No había denuncia","Tentativa no consumada","31-40 años","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2009","Febrero","Pareja en fase de separación","No","No había denuncia","No hubo tentativa","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2009","Febrero","Pareja en fase de separación","No","No había denuncia","Suicidio consumado","31-40 años","31-40 años","España","España","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Marzo","Expareja","No","No había denuncia","No hubo tentativa","41-50 años","31-40 años","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Marzo","Expareja","No","Había denuncia","No hubo tentativa","31-40 años","21-30 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Año 2009","Marzo","Pareja","Sí","No había denuncia","Tentativa no consumada","51-60 años","61-70 años","Otro país","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2009","Marzo","Pareja","Sí","Había denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","",""
"Año 2009","Marzo","Pareja","Sí","Había denuncia","No hubo tentativa","41-50 años","41-50 años","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","",""
"Año 2009","Marzo","Pareja","No consta","No había denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Abril","Pareja","Sí","No había denuncia","No hubo tentativa","71-84 años","71-84 años","España","España","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Abril","Pareja","Sí","Había denuncia","Tentativa no consumada","61-70 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","",""
"Año 2009","Mayo","Expareja","No","No había denuncia","No hubo tentativa","21-30 años","18-20 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Mayo","Expareja","No","Había denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Mayo","Expareja","No","Había denuncia","No hubo tentativa","51-60 años","31-40 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Mayo","Expareja","No","Había denuncia","Suicidio consumado","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Mayo","Pareja","Sí","No había denuncia","Tentativa no consumada","21-30 años","18-20 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2009","Mayo","Pareja en fase de separación","Sí","No había denuncia","No hubo tentativa","21-30 años","18-20 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","",""
"Año 2009","Mayo","Pareja en fase de separación","Sí","No había denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
