año,provincia,total_denuncias,tasa_por_1000,mujeres_por_denuncia
2010,santa cruz de tenerife,3597,6.945262373360468,143.9830414234084
2010,segovia,231,2.8436369008050817,351.6623376623377
2010,sevilla,7023,7.190679454192311,139.0689164174854
2010,soria,137,2.923727004993811,342.02919708029196
2010,tarragona,2984,7.471599658469774,133.84014745308312
2010,teruel,183,2.5878892439969454,386.4153005464481
2010,toledo,1553,4.51639921130234,221.41532517707662
2010,valencia,10315,7.913789942006458,126.36170625302957
2010,valladolid,1055,3.885833833642113,257.34502369668246
2010,vizcaya,1903,3.2017363068148357,312.3305307409354
2010,zamora,269,2.7508769059281906,363.52044609665427
2010,zaragoza,2056,4.185991587297063,238.89202334630346
2011,alava,808,5.044136191677175,198.25
2011,albacete,884,4.3998048955295195,227.28280542986425
2011,alicante,7287,7.51572609216279,133.05434335117332
2011,almeria,2357,6.8992769955800135,144.9427238014425
2011,asturias,2656,4.7182883414221655,211.94126506024097
2011,avila,332,3.8776439808920915,257.8885542168675
2011,badajoz,1384,3.958470382976289,252.62283236994222
2011,barcelona,12861,4.571221811065406,218.75989425394604
2011,burgos,676,3.6343109056208167,275.155325443787
2011,caceres,611,2.9252225036266055,341.8543371522095
2011,cadiz,3427,5.460014594027919,183.14969360957105
2011,cantabria,1168,3.851620285639854,259.6309931506849
2011,castellon,1644,5.452935264636521,183.3874695863747
2011,ciudad real,1143,4.295426104014701,232.80577427821524
2011,cordoba,1224,2.985373135056427,334.96650326797385
2011,coruña,1875,3.147832276780918,317.6789333333333
2011,cuenca,961,23.898933127751114,41.84287200832466
2011,cuenca,961,8.891068223451697,112.47242455775233
2011,gerona,2090,5.567958397493619,179.59904306220096
2011,granada,3347,7.159879007243307,139.66716462503734
2011,guadalajara,979,7.836451104227201,127.60878447395301
2011,guipuzcoa,1161,3.207589914740547,311.7605512489234
2011,huelva,1466,5.582507635012147,179.13096862210097
2011,huesca,378,3.3708766954707188,296.6587301587302
2011,islas baleares,4417,7.950865558909668,125.77247000226397
2011,jaen,1422,4.216881761245018,237.1420534458509
2011,las palmas,4534,8.308000710962567,120.36590207322453
2011,leon,847,3.3283166262579424,300.4521841794569
2011,lerida,904,4.167434999078001,239.95575221238937
2011,lugo,559,3.093936106621798,323.2128801431127
2011,madrid,20708,6.168904289634644,162.1033417036894
2011,malaga,5981,7.252325388231614,137.88680822604914
2011,melilla,323,8.451072736787022,118.328173374613
2011,murcia,5766,7.915023994904515,126.34200485605272
2011,navarra,1449,4.50847088473685,221.8046928916494
2011,orense,540,3.1270448846757426,319.7907407407408
2011,palencia,290,3.3506643558636626,298.44827586206895
2011,pontevedra,2179,4.385894287669578,228.00367140890316
2011,rioja,710,4.39974469087146,227.28591549295774
2011,salamanca,469,2.5997494484540082,384.6524520255864
2011,santa cruz de tenerife,3515,6.766915845748972,147.7778093883357
2011,segovia,209,2.5738282308317526,388.5263157894737
2011,sevilla,7826,7.95975573537728,125.63199591106567
2011,soria,128,2.7306084136871744,366.21875
2011,tarragona,2620,6.522783685074029,153.3087786259542
2011,teruel,169,2.3938016119208485,417.7455621301775
2011,toledo,1297,3.7194656816917404,268.85582112567465
2011,valencia,9609,7.366865130171718,135.74294931834737
2011,valladolid,1493,5.483628082933906,182.36101808439383
2011,vizcaya,2156,3.6199155800763605,276.24953617810763
2011,zamora,318,3.265222302084403,306.25786163522014
2011,zaragoza,2845,5.779336991210126,173.03022847100175
2012,alava,734,4.533438742989846,220.58310626703
2012,albacete,704,3.499058137049757,285.7911931818182
2012,alicante,7246,7.43428821768942,134.5118686171681
2012,almeria,2123,6.159479156995637,162.35138954309937
2012,asturias,2431,4.333796841016865,230.74454956807898
2012,avila,316,3.7250533413492706,268.45253164556965
2012,badajoz,1343,3.838864862238204,260.49367088607596
2012,barcelona,12312,4.351058927304237,229.82910981156596
2012,burgos,624,3.357618673525392,297.83012820512823
2012,caceres,624,3.0005337487918524,333.27403846153845
2012,cadiz,3462,5.508546042980025,181.5361062969382
2012,cantabria,1106,3.639810176988238,274.73960216998194
2012,castellon,1730,5.735370660761113,174.35664739884393
2012,ciudad real,1138,4.27525424238212,233.90421792618633
2012,cordoba,1174,2.8690267303359254,348.55025553662693
2012,coruña,1633,2.7496118888301435,363.68769136558484
2012,cuenca,833,7.743362831858407,129.14285714285714
2012,cuenca,833,20.28244460676893,49.30372148859544
2012,gerona,2135,5.645176216753614,177.1423887587822
2012,granada,3447,7.385711102350058,135.39657673339136
2012,guadalajara,715,5.650923115832069,176.96223776223775
2012,guipuzcoa,975,2.6826838945416327,372.76102564102564
2012,huelva,1621,6.151989434214322,162.54904380012337
2012,huesca,308,2.74762036450574,363.95129870129875
2012,islas baleares,4739,8.472364252665603,118.03080818738131
2012,jaen,1461,4.348007237750584,229.99041752224505
2012,las palmas,4230,7.71014239156587,129.69929078014184
2012,leon,705,2.7898473300567463,358.44255319148937
2012,lerida,981,4.506470299099165,221.90316004077474
2012,lugo,479,2.670517266371553,374.45929018789144
2012,madrid,20935,6.215266428150065,160.89414855505134
2012,malaga,6322,7.593346393280573,131.6942423283771
2012,melilla,317,8.079932709708663,123.7634069400631
2012,murcia,4796,6.5544018083370466,152.56922435362802
2012,navarra,1333,4.125491701045764,242.3953488372093
2012,orense,466,2.7238400299271697,367.12875536480686
2012,palencia,250,2.9041738786984657,344.332
2012,pontevedra,2210,4.475314892065935,223.44796380090497
2012,rioja,701,4.326225815410251,231.14835948644793
2012,salamanca,419,2.3398017590395086,427.38663484486875
2012,santa cruz de tenerife,3471,6.7598096113547665,147.93316047248632
2012,segovia,246,3.036812087993482,329.29268292682923
2012,sevilla,6581,6.657151152028049,150.21440510560706
2012,soria,113,2.427862406806609,411.88495575221236
2012,tarragona,2349,5.8181295790834655,171.87654320987653
2012,teruel,127,1.8078291814946619,553.1496062992126
2012,toledo,1262,3.597942729418741,277.9366085578447
2012,valencia,8854,6.776615090712042,147.5662977185453
2012,valladolid,1155,4.241037824182361,235.791341991342
2012,vizcaya,2144,3.58945597307908,278.59375
2012,zamora,304,3.1498673740053054,317.4736842105263
2012,zaragoza,2793,5.639894835043678,177.3082706766917
2013,alava,751,4.641676195185266,215.43941411451397
2013,albacete,810,4.05018225820162,246.90246913580245
2013,alicante,6500,6.654960761327511,150.26384615384615
2013,almeria,2079,6.0493902598706315,165.3059163059163
2013,asturias,2438,4.378442545961973,228.39171452009845
2013,avila,233,2.7804295942720767,359.656652360515
2013,badajoz,1287,3.6831094945239857,271.50971250971253
2013,barcelona,12098,4.275633834972833,233.88345181021654
2013,burgos,587,3.179676073885488,314.4974446337308
2013,caceres,647,3.132913997394888,319.1916537867079
2013,cadiz,3733,5.965908182867151,167.6190731315296
2013,cantabria,1137,3.7494435192666,266.70624450307827
2013,castellon,1650,5.48706880784285,182.24666666666667
2013,ciudad real,1130,4.279103584601286,233.6938053097345
2013,cordoba,1627,3.9854690826072363,250.91149354640444
2013,coruña,1772,2.9978920014481916,333.56772009029345
2013,cuenca,690,6.584723441615452,151.86666666666667
2013,cuenca,690,16.780155642023345,59.594202898550726
2013,gerona,1883,4.969032608781703,201.24641529474243
2013,granada,3293,7.071850256308937,141.40570907986637
2013,guadalajara,699,5.550835007583759,180.1530758226037
