año,trimestre,provincia,total_llamadas,total_denuncias,total_victimas_mortales
2010,cuarto,zaragoza,277,504.0,0
2010,primero,alava,40,180.0,0
2010,primero,albacete,86,199.0,0
2010,primero,alicante,569,1614.0,0
2010,primero,almeria,169,638.0,2
2010,primero,asturias,283,554.0,1
2010,primero,avila,55,122.0,0
2010,primero,badajoz,193,289.0,0
2010,primero,barcelona,1521,3140.0,1
2010,primero,burgos,104,186.0,1
2010,primero,caceres,117,172.0,0
2010,primero,cadiz,311,810.0,0
2010,primero,cantabria,171,301.0,0
2010,primero,castellon,124,422.0,1
2010,primero,ciudad real,135,274.0,0
2010,primero,cordoba,207,256.0,0
2010,primero,coruña,298,551.0,0
2010,primero,cuenca,56,180.0,0
2010,primero,gerona,140,499.0,0
2010,primero,granada,346,908.0,0
2010,primero,guadalajara,94,405.0,0
2010,primero,guipuzcoa,97,248.0,0
2010,primero,huelva,121,430.0,1
2010,primero,huesca,56,76.0,0
2010,primero,islas baleares,333,991.0,1
2010,primero,jaen,154,332.0,0
2010,primero,las palmas,499,1299.0,0
2010,primero,leon,146,241.0,0
2010,primero,lerida,72,203.0,0
2010,primero,lugo,87,121.0,0
2010,primero,madrid,3618,5061.0,2
2010,primero,malaga,518,1320.0,0
2010,primero,melilla,43,102.0,0
2010,primero,murcia,389,1443.0,0
2010,primero,navarra,197,357.0,0
2010,primero,orense,57,142.0,0
2010,primero,palencia,45,73.0,0
2010,primero,pontevedra,249,611.0,0
2010,primero,rioja,78,129.0,0
2010,primero,salamanca,123,126.0,0
2010,primero,santa cruz de tenerife,510,888.0,1
2010,primero,segovia,35,45.0,0
2010,primero,sevilla,694,1578.0,1
2010,primero,soria,17,31.0,0
2010,primero,tarragona,202,700.0,1
2010,primero,teruel,36,43.0,0
2010,primero,toledo,240,406.0,0
2010,primero,valencia,827,2537.0,0
2010,primero,valladolid,186,242.0,1
2010,primero,vizcaya,248,528.0,0
2010,primero,zamora,77,64.0,0
2010,primero,zaragoza,239,429.0,0
2010,segundo,alava,65,189.0,0
2010,segundo,albacete,98,267.0,0
2010,segundo,alicante,688,1754.0,2
2010,segundo,almeria,227,680.0,1
2010,segundo,asturias,308,493.0,3
2010,segundo,avila,57,114.0,0
2010,segundo,badajoz,233,361.0,0
2010,segundo,barcelona,1771,3231.0,1
2010,segundo,burgos,103,159.0,1
2010,segundo,caceres,129,140.0,0
2010,segundo,cadiz,341,960.0,0
2010,segundo,cantabria,194,321.0,0
2010,segundo,castellon,163,477.0,0
2010,segundo,ciudad real,129,307.0,0
2010,segundo,cordoba,243,282.0,0
2010,segundo,coruña,362,432.0,0
2010,segundo,cuenca,62,185.0,0
2010,segundo,gerona,156,548.0,2
2010,segundo,granada,352,944.0,0
2010,segundo,guadalajara,89,369.0,0
2010,segundo,guipuzcoa,115,258.0,0
2010,segundo,huelva,134,465.0,0
2010,segundo,huesca,49,96.0,0
2010,segundo,islas baleares,399,1138.0,0
2010,segundo,jaen,208,398.0,0
2010,segundo,las palmas,569,1123.0,0
2010,segundo,leon,141,158.0,0
2010,segundo,lerida,73,245.0,0
2010,segundo,lugo,93,127.0,0
2010,segundo,madrid,4163,5661.0,1
2010,segundo,malaga,620,1549.0,1
2010,segundo,melilla,24,105.0,0
2010,segundo,murcia,527,1430.0,1
2010,segundo,navarra,210,364.0,0
2010,segundo,orense,74,137.0,0
2010,segundo,palencia,36,83.0,0
2010,segundo,pontevedra,266,581.0,0
2010,segundo,rioja,81,152.0,0
2010,segundo,salamanca,130,133.0,0
2010,segundo,santa cruz de tenerife,495,859.0,2
2010,segundo,segovia,42,57.0,0
2010,segundo,sevilla,846,1718.0,2
2010,segundo,soria,18,28.0,0
2010,segundo,tarragona,257,771.0,0
2010,segundo,teruel,19,46.0,0
2010,segundo,toledo,248,386.0,0
2010,segundo,valencia,1004,2621.0,1
2010,segundo,valladolid,214,274.0,0
2010,segundo,vizcaya,254,482.0,0
2010,segundo,zamora,75,58.0,0
2010,segundo,zaragoza,246,540.0,1
2010,tercero,alava,80,205.0,0
2010,tercero,albacete,115,225.0,0
2010,tercero,alicante,679,2113.0,0
2010,tercero,almeria,219,780.0,1
2010,tercero,asturias,384,594.0,1
2010,tercero,avila,66,100.0,0
2010,tercero,badajoz,281,265.0,0
2010,tercero,barcelona,1809,3436.0,2
2010,tercero,burgos,117,161.0,0
2010,tercero,caceres,154,188.0,0
2010,tercero,cadiz,347,1039.0,1
2010,tercero,cantabria,215,344.0,0
2010,tercero,castellon,192,581.0,1
2010,tercero,ciudad real,170,345.0,0
2010,tercero,cordoba,213,264.0,1
2010,tercero,coruña,373,538.0,1
2010,tercero,cuenca,56,184.0,2
2010,tercero,gerona,166,635.0,2
2010,tercero,granada,354,929.0,1
2010,tercero,guadalajara,115,376.0,0
2010,tercero,guipuzcoa,113,285.0,0
2010,tercero,huelva,135,414.0,0
2010,tercero,huesca,39,93.0,0
2010,tercero,islas baleares,452,1200.0,0
2010,tercero,jaen,167,435.0,0
2010,tercero,las palmas,620,1176.0,1
2010,tercero,leon,164,239.0,0
2010,tercero,lerida,67,268.0,0
2010,tercero,lugo,91,146.0,1
2010,tercero,madrid,4003,5547.0,0
2010,tercero,malaga,697,1324.0,0
2010,tercero,melilla,31,82.0,0
2010,tercero,murcia,612,1416.0,0
2010,tercero,navarra,244,402.0,0
2010,tercero,orense,102,261.0,0
2010,tercero,palencia,58,75.0,1
2010,tercero,pontevedra,300,493.0,0
2010,tercero,rioja,106,203.0,0
2010,tercero,salamanca,128,136.0,0
2010,tercero,santa cruz de tenerife,514,932.0,2
2010,tercero,segovia,49,76.0,0
2010,tercero,sevilla,888,1918.0,0
2010,tercero,soria,18,39.0,0
2010,tercero,tarragona,231,817.0,0
2010,tercero,teruel,28,65.0,0
2010,tercero,toledo,252,407.0,0
2010,tercero,valencia,956,2672.0,0
2010,tercero,valladolid,235,272.0,0
2010,tercero,vizcaya,248,459.0,1
2010,tercero,zamora,86,74.0,0
2010,tercero,zaragoza,313,583.0,1
2011,cuarto,alava,79,203.0,0
2011,cuarto,albacete,111,217.0,0
2011,cuarto,alicante,799,1633.0,1
2011,cuarto,almeria,225,485.0,1
2011,cuarto,asturias,490,671.0,1
2011,cuarto,avila,57,72.0,0
2011,cuarto,badajoz,253,334.0,0
2011,cuarto,barcelona,2137,3188.0,1
2011,cuarto,burgos,135,158.0,0
2011,cuarto,caceres,138,165.0,0
2011,cuarto,cadiz,451,828.0,0
2011,cuarto,cantabria,237,303.0,0
2011,cuarto,castellon,228,412.0,0
2011,cuarto,ciudad real,155,187.0,0
2011,cuarto,cordoba,253,258.0,0
2011,cuarto,coruña,400,402.0,1
2011,cuarto,cuenca,99,259.0,0
2011,cuarto,gerona,159,507.0,2
2011,cuarto,granada,414,689.0,0
2011,cuarto,guadalajara,87,217.0,0
2011,cuarto,guipuzcoa,184,278.0,0
2011,cuarto,huelva,183,343.0,0
2011,cuarto,huesca,52,68.0,0
2011,cuarto,islas baleares,410,1124.0,0
2011,cuarto,jaen,239,320.0,0
2011,cuarto,las palmas,628,1000.0,1
2011,cuarto,leon,181,201.0,0
2011,cuarto,lerida,100,197.0,1
2011,cuarto,lugo,117,123.0,0
2011,cuarto,madrid,4352,5028.0,2
2011,cuarto,malaga,802,1473.0,1
2011,cuarto,melilla,26,78.0,0
2011,cuarto,murcia,556,1311.0,0
2011,cuarto,navarra,196,323.0,0
2011,cuarto,orense,76,114.0,0
2011,cuarto,palencia,51,62.0,0
2011,cuarto,pontevedra,344,502.0,1
2011,cuarto,rioja,116,177.0,0
2011,cuarto,salamanca,114,96.0,0
2011,cuarto,santa cruz de tenerife,528,725.0,0
2011,cuarto,segovia,51,48.0,0
2011,cuarto,sevilla,996,1813.0,1
2011,cuarto,soria,25,27.0,0
2011,cuarto,tarragona,249,614.0,0
2011,cuarto,teruel,20,35.0,0
2011,cuarto,toledo,291,257.0,0
