año,provincia,total_llamadas,tasa_por_1000,mujeres_por_llamada
2011,albacete,408,2.030679182552086,492.44607843137254
2011,alicante,2723,2.808470172767844,356.06573632023503
2011,almeria,912,2.669554781488745,374.594298245614
2011,asturias,1660,2.9489302133888535,339.10602409638557
2011,avila,211,2.4644062649645524,405.77725118483414
2011,badajoz,977,2.7943826330692447,357.86079836233364
2011,barcelona,6999,2.4876744775403763,401.9818545506501
2011,burgos,429,2.306389613182441,433.5780885780887
2011,caceres,607,2.9060721108041725,344.1070840197694
2011,cadiz,1647,2.6240572034910956,381.08925318761385
2011,cantabria,954,3.145929582620223,317.87106918238993
2011,castellon,710,2.3549781252384,424.63239436619716
2011,ciudad real,618,2.32246135807619,430.5776699029126
2011,cordoba,995,2.4268351874028964,412.059296482412
2011,coruña,1483,2.489725475448587,401.6507080242751
2011,cuenca,348,8.654348312650768,115.54885057471265
