año,trimestre,provincia,comunidad,numero_ordenes_proteccion
2010,primero,lerida,cataluña,52
2010,primero,tarragona,cataluña,221
2010,primero,alicante,comunidad valenciana,499
2010,primero,castellon,comunidad valenciana,114
2010,primero,valencia,comunidad valenciana,501
2010,primero,badajoz,extremadura,132
2010,primero,caceres,extremadura,46
2010,primero,coruña,galicia,104
2010,primero,lugo,galicia,47
2010,primero,orense,galicia,50
2010,primero,pontevedra,galicia,119
2010,primero,madrid,madrid,1450
2010,primero,murcia,murcia,427
2010,primero,navarra,navarra,63
2010,primero,alava,pais vasco,16
2010,primero,guipuzcoa,pais vasco,69
2010,primero,vizcaya,pais vasco,113
2010,primero,rioja,la rioja,50
2010,primero,cuenca,castilla la mancha,15
2010,primero,melilla,melilla,2
2010,segundo,almeria,andalucia,112
2010,segundo,cadiz,andalucia,314
2010,segundo,cordoba,andalucia,101
2010,segundo,granada,andalucia,98
2010,segundo,huelva,andalucia,161
2010,segundo,jaen,andalucia,93
2010,segundo,malaga,andalucia,252
2010,segundo,sevilla,andalucia,481
2010,segundo,huesca,aragon,19
2010,segundo,teruel,aragon,15
2010,segundo,zaragoza,aragon,133
2010,segundo,asturias,asturias,208
2010,segundo,islas baleares,islas baleares,424
2010,segundo,las palmas,canarias,400
2010,segundo,santa cruz de tenerife,canarias,269
2010,segundo,cantabria,cantabria,77
2010,segundo,avila,castilla y leon,28
2010,segundo,burgos,castilla y leon,51
2010,segundo,leon,castilla y leon,83
2010,segundo,palencia,castilla y leon,22
2010,segundo,salamanca,castilla y leon,23
2010,segundo,segovia,castilla y leon,27
2010,segundo,soria,castilla y leon,20
2010,segundo,valladolid,castilla y leon,100
2010,segundo,zamora,castilla y leon,14
2010,segundo,albacete,castilla la mancha,72
2010,segundo,ciudad real,castilla la mancha,108
2010,segundo,cuenca,castilla la mancha,24
2010,segundo,guadalajara,castilla la mancha,93
2010,segundo,toledo,castilla la mancha,234
2010,segundo,barcelona,cataluña,1071
2010,segundo,gerona,cataluña,188
2010,segundo,lerida,cataluña,73
2010,segundo,tarragona,cataluña,238
2010,segundo,alicante,comunidad valenciana,588
2010,segundo,castellon,comunidad valenciana,109
2010,segundo,valencia,comunidad valenciana,525
2010,segundo,badajoz,extremadura,161
2010,segundo,caceres,extremadura,58
2010,segundo,coruña,galicia,83
2010,segundo,lugo,galicia,50
2010,segundo,orense,galicia,78
2010,segundo,pontevedra,galicia,140
2010,segundo,madrid,madrid,1582
2010,segundo,murcia,murcia,499
2010,segundo,navarra,navarra,82
2010,segundo,alava,pais vasco,34
2010,segundo,guipuzcoa,pais vasco,73
2010,segundo,vizcaya,pais vasco,124
2010,segundo,rioja,la rioja,63
2010,segundo,cuenca,castilla la mancha,14
2010,segundo,melilla,melilla,1
2010,tercero,almeria,andalucia,93
2010,tercero,cadiz,andalucia,279
2010,tercero,cordoba,andalucia,105
2010,tercero,granada,andalucia,106
2010,tercero,huelva,andalucia,165
2010,tercero,jaen,andalucia,117
2010,tercero,malaga,andalucia,287
2010,tercero,sevilla,andalucia,460
2010,tercero,huesca,aragon,25
2010,tercero,teruel,aragon,13
2010,tercero,zaragoza,aragon,119
2010,tercero,asturias,asturias,207
2010,tercero,islas baleares,islas baleares,363
2010,tercero,las palmas,canarias,310
2010,tercero,santa cruz de tenerife,canarias,327
2010,tercero,cantabria,cantabria,88
2010,tercero,avila,castilla y leon,25
2010,tercero,burgos,castilla y leon,66
2010,tercero,leon,castilla y leon,111
2010,tercero,palencia,castilla y leon,16
2010,tercero,salamanca,castilla y leon,20
2010,tercero,segovia,castilla y leon,36
2010,tercero,soria,castilla y leon,21
2010,tercero,valladolid,castilla y leon,122
2010,tercero,zamora,castilla y leon,12
2010,tercero,albacete,castilla la mancha,76
2010,tercero,ciudad real,castilla la mancha,125
2010,tercero,cuenca,castilla la mancha,31
2010,tercero,guadalajara,castilla la mancha,86
2010,tercero,toledo,castilla la mancha,166
2010,tercero,barcelona,cataluña,1116
2010,tercero,gerona,cataluña,257
2010,tercero,lerida,cataluña,70
2010,tercero,tarragona,cataluña,276
2010,tercero,alicante,comunidad valenciana,692
2010,tercero,castellon,comunidad valenciana,149
2010,tercero,valencia,comunidad valenciana,475
2010,tercero,badajoz,extremadura,144
