año,trimestre,llamante,almeria,cadiz,cordoba,granada,huelva,jaen,malaga,sevilla,huesca,teruel,zaragoza,asturias,illes balears,las palmas,santa cruz de tenerife,cantabria,avila,burgos,leon,palencia,salamanca,segovia,soria,valladolid,zamora,albacete,ciudad real,cuenca,guadalajara,toledo,barcelona,girona,lleida,tarragona,alicante/alacant,castellon/castello,valencia/valencia,badajoz,caceres,a coruna,lugo,ourense,pontevedra,madrid,murcia,navarra,araba/alava,bizkaia,gipuzkoa,la rioja,ceuta,melilla,no consta
2009,segundo,usuaria,151.0,238.0,194.0,267.0,102.0,133.0,443.0,521.0,38.0,19.0,207.0,257.0,272.0,445.0,395.0,116.0,41.0,93.0,135.0,29.0,91.0,34.0,10.0,180.0,46.0,61.0,110.0,31.0,52.0,160.0,1379.0,138.0,71.0,180.0,549.0,147.0,699.0,169.0,97.0,269.0,63.0,61.0,166.0,3233.0,399.0,155.0,46.0,180.0,67.0,50.0,23.0,24.0,0.0
2009,segundo,familiar,32.0,72.0,33.0,47.0,27.0,32.0,116.0,122.0,15.0,3.0,41.0,68.0,69.0,117.0,120.0,36.0,13.0,17.0,26.0,6.0,20.0,11.0,4.0,37.0,3.0,18.0,21.0,6.0,17.0,41.0,260.0,37.0,13.0,38.0,111.0,26.0,152.0,47.0,24.0,56.0,13.0,18.0,45.0,830.0,128.0,28.0,13.0,41.0,17.0,20.0,2.0,8.0,0.0
2009,segundo,desconocido,6.0,12.0,6.0,11.0,8.0,5.0,15.0,18.0,7.0,3.0,16.0,9.0,10.0,9.0,22.0,6.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,6.0,3.0,3.0,8.0,61.0,2.0,1.0,10.0,19.0,1.0,34.0,7.0,1.0,4.0,3.0,6.0,4.0,91.0,26.0,5.0,2.0,1.0,5.0,2.0,2.0,2.0,0.0
2009,tercero,usuaria,154.0,270.0,179.0,278.0,116.0,124.0,467.0,567.0,27.0,16.0,202.0,252.0,313.0,454.0,411.0,175.0,45.0,82.0,130.0,21.0,98.0,33.0,9.0,160.0,61.0,71.0,111.0,33.0,68.0,228.0,1497.0,123.0,56.0,182.0,585.0,149.0,799.0,166.0,114.0,282.0,120.0,61.0,210.0,3265.0,405.0,126.0,47.0,207.0,89.0,57.0,14.0,25.0,0.0
2009,tercero,familiar,48.0,77.0,52.0,61.0,29.0,34.0,115.0,162.0,14.0,7.0,63.0,77.0,88.0,147.0,98.0,40.0,14.0,14.0,31.0,17.0,29.0,14.0,4.0,34.0,16.0,24.0,21.0,11.0,17.0,62.0,371.0,29.0,19.0,50.0,129.0,40.0,182.0,34.0,21.0,87.0,14.0,18.0,53.0,875.0,120.0,48.0,13.0,63.0,35.0,18.0,5.0,6.0,0.0
2009,tercero,desconocido,5.0,7.0,6.0,8.0,5.0,7.0,21.0,32.0,1.0,2.0,20.0,3.0,12.0,10.0,9.0,6.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,5.0,1.0,3.0,3.0,4.0,5.0,13.0,57.0,4.0,2.0,6.0,23.0,6.0,25.0,4.0,7.0,5.0,2.0,3.0,3.0,76.0,9.0,3.0,1.0,5.0,4.0,2.0,2.0,0.0,0.0
2009,cuarto,usuaria,125.0,264.0,152.0,212.0,98.0,113.0,399.0,558.0,30.0,18.0,193.0,300.0,231.0,495.0,442.0,170.0,26.0,80.0,102.0,22.0,75.0,38.0,32.0,151.0,36.0,67.0,107.0,27.0,60.0,190.0,1332.0,85.0,63.0,182.0,497.0,133.0,667.0,200.0,70.0,269.0,33.0,58.0,154.0,2923.0,322.0,153.0,39.0,217.0,69.0,48.0,8.0,26.0,0.0
2009,cuarto,familiar,74.0,99.0,64.0,90.0,44.0,57.0,128.0,215.0,8.0,2.0,77.0,79.0,78.0,193.0,149.0,49.0,11.0,29.0,50.0,8.0,25.0,15.0,4.0,54.0,16.0,25.0,38.0,14.0,20.0,42.0,434.0,43.0,17.0,54.0,121.0,47.0,235.0,51.0,30.0,84.0,11.0,7.0,80.0,971.0,101.0,59.0,14.0,82.0,34.0,16.0,6.0,8.0,0.0
2009,cuarto,desconocido,5.0,2.0,6.0,8.0,2.0,9.0,15.0,14.0,5.0,0.0,10.0,5.0,9.0,16.0,13.0,3.0,1.0,0.0,6.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,3.0,1.0,4.0,6.0,46.0,0.0,1.0,0.0,21.0,7.0,38.0,6.0,3.0,11.0,0.0,1.0,3.0,91.0,9.0,5.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0
2010,primero,usuaria,115.0,201.0,152.0,225.0,85.0,110.0,367.0,484.0,42.0,32.0,164.0,204.0,242.0,346.0,368.0,121.0,39.0,72.0,112.0,33.0,92.0,26.0,16.0,131.0,54.0,60.0,96.0,34.0,70.0,169.0,1130.0,110.0,58.0,155.0,421.0,94.0,592.0,133.0,83.0,222.0,68.0,47.0,170.0,2687.0,287.0,146.0,21.0,182.0,68.0,52.0,8.0,32.0,0.0
